variant,delay_months,year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,service_level_total,service_level_critical,shortage_total_t,shortage_critical_t,opening_t,closing_t,planned_inflow_t,throughput_t,losses_t,loss_ratio,reserve_required_t,reserve_ok,average_stock_t,storage_mode_end,storage_capacity_end_t,emergency_share_of_demand,balance_residual_t
without_measure,0,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
without_measure,0,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
without_measure,0,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,30.82224430000005,203.1882,203.1882,5.790863699999999,0.028499999999999998,23.424657534246574,True,26.285424825000064,ZBO,120.0,0.0,2.842170943040401e-14
without_measure,0,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,30.82224430000005,39.45238750000013,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,True,35.13731590000009,ZBO,120.0,0.0,-8.526512829121202e-14
without_measure,0,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,39.45238750000013,48.08252830000018,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,True,43.76745790000015,ZBO,120.0,0.0,-2.842170943040401e-14
without_measure,0,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,48.08252830000018,48.082585500000306,394.7369,394.7369,4.7368428,0.012,48.082191780821915,True,48.08255690000024,ZBO,120.0,0.0,-1.4210854715202004e-13
physical_stock,0,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
physical_stock,0,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
physical_stock,0,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,34.02277150000005,206.4276,206.4276,5.8297365,0.0282410709614412,23.424657534246574,True,27.085556625000063,ZBO,120.0,0.0,4.263256414560601e-14
physical_stock,0,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,34.02277150000005,42.652914700000125,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,True,38.337843100000086,ZBO,120.0,0.0,-7.105427357601002e-14
physical_stock,0,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,42.652914700000125,51.283055500000174,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,True,46.967985100000156,ZBO,120.0,0.0,-7.105427357601002e-14
physical_stock,0,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,51.283055500000174,51.28311270000029,394.7369,394.7369,4.7368428,0.012,48.082191780821915,True,51.283084100000224,ZBO,120.0,0.0,-1.1368683772161603e-13
guarded_calendar,0,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
