variant,reference,factor,value,pv_cost_mln,total_cost_mln,full_pass,physical_pass,shortage_t,critical_shortage_t,min_service_total,min_service_critical,max_reserve_gap_t,reserve_failed_years,hard_violations,failure_rules,first_rule,first_year,first_month,delta_pv_mln
guarded_calendar,BASE,delivery_reduction,0,8729.689187022066,10980.609872522,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.0
guarded_calendar,BASE,delivery_reduction,0.01,8727.479856373913,10977.4839539444,False,False,0.0,0.0,1.0,1.0,1.920629812821673,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-2.2093306481529
guarded_calendar,BASE,delivery_reduction,0.02,8725.27052572576,10974.3580353668,False,False,0.0,0.0,1.0,1.0,3.914131244821803,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-4.4186612963058
guarded_calendar,BASE,delivery_reduction,0.05,8718.642533781302,10964.980279634,False,False,0.0,0.0,1.0,1.0,9.894635540821852,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-11.046653240764499
guarded_calendar,BASE,delivery_reduction,0.1,8707.595880540537,10949.350686746,False,False,0.0,0.0,1.0,1.0,19.86214270082181,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-22.093306481528998
guarded_calendar,BASE,price,0.8,8352.97576775257,10486.943424522002,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,-376.7134192694957
guarded_calendar,BASE,price,1.0,8729.689187022066,10980.609872522,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,0.0
guarded_calendar,BASE,price,1.25,9200.580961108935,11597.692932522,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,470.8917740868692
guarded_calendar,BASE,price,1.5,9671.472735195806,12214.775992522002,True,True,0.0,0.0,1.0,1.0,0.0,,0,,,,,941.7835481737402
adapted_stress,MANDATORY_STRESS,demand,0,10097.47191528632,12811.646083507,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,0.0
adapted_stress,MANDATORY_STRESS,demand,0.01,10089.84406948594,12800.882083507,False,False,0.0,2.842170943040401e-14,1.0,0.9999999999999999,7.107475303424536,2038;2039;2040,3,RESERVE_45D,RESERVE_45D,2038,1,-7.627845800379873
adapted_stress,MANDATORY_STRESS,demand,0.02,10082.216223685558,12790.118083507,False,False,0.0,0.0,1.0,1.0,14.21542050890399,2038;2039;2040,3,RESERVE_45D,RESERVE_45D,2038,1,-15.255691600761565
adapted_stress,MANDATORY_STRESS,demand,0.05,10062.294195557402,12762.177512231501,False,False,23.565009549999786,2.842170943040401e-14,0.9499601644635562,0.9999999999999999,35.539256125342284,2038;2039;2040,3,BASE_TOTAL_SERVICE;RESERVE_45D,RESERVE_45D,2038,1,-35.17771972891751
adapted_stress,MANDATORY_STRESS,demand,0.1,10044.051730486364,12737.4783790215,False,False,78.76500954999977,2.842170943040401e-14,0.8611330698287222,0.9999999999999999,60.82397260273972,2038;2039;2040,3,BASE_TOTAL_SERVICE;RESERVE_45D,RESERVE_45D,2038,1,-53.42018479995568
adapted_stress,MANDATORY_STRESS,delivery_reduction,0,10097.47191528632,12811.646083507,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,0.0
adapted_stress,MANDATORY_STRESS,delivery_reduction,0.01,10094.756306824553,12807.8218619422,False,False,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,2.380977633945008,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-2.7156084617672605
adapted_stress,MANDATORY_STRESS,delivery_reduction,0.02,10092.040698362785,12803.997640377402,False,False,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,4.762425169945104,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-5.431216923534521
adapted_stress,MANDATORY_STRESS,delivery_reduction,0.05,10083.893872977484,12792.524975683002,False,False,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,11.906767777945106,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-13.578042308836302
adapted_stress,MANDATORY_STRESS,delivery_reduction,0.1,10070.499311571353,12773.6734615009,False,False,5.023484909999922,2.842170943040401e-14,0.9887993647491641,0.9999999999999999,23.814005457945125,2039;2040,2,RESERVE_45D,RESERVE_45D,2039,1,-26.97260371496668
adapted_stress,MANDATORY_STRESS,price,0.8,9544.982571675622,12083.550431007001,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,-552.4893436106977
adapted_stress,MANDATORY_STRESS,price,1.0,10097.47191528632,12811.646083507,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,0.0
adapted_stress,MANDATORY_STRESS,price,1.25,10788.083594799691,13721.765649132001,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,690.6116795133712
adapted_stress,MANDATORY_STRESS,price,1.5,11478.695274313062,14631.885214757001,True,True,5.684341886080802e-14,2.842170943040401e-14,0.9999999999999999,0.9999999999999999,0.0,,0,,,,,1381.2233590267424
