stock_target_net_t,control_pass,target_physical_pass,target_full_pass,target_max_reserve_gap_t,delta_pv_mln
0.0,True,False,False,3.1483562582191205,0.0
0.1,True,False,False,3.0481730582191453,0.9746518248321081
0.2,True,False,False,2.9479898582191275,1.9493036496623972
0.3,True,False,False,2.847806658219067,2.9239554744926863
0.4,True,False,False,2.748216258219113,3.8927374002960278
0.5,True,False,False,2.648033058219095,4.867389225126317
0.6,True,False,False,2.54784985821912,5.842041049956606
0.7,True,False,False,2.4482594582191233,6.810951576582738
0.8,True,False,False,2.348076258219141,7.7854748005902366
0.9,True,False,False,2.247893058219095,8.760126625420526
1.0,True,False,False,2.1483026582191336,9.729037152046658
1.1,True,False,False,2.048119458219116,10.703688976876947
1.2,True,False,False,1.9479362582191406,11.678212200884445
1.3,True,False,False,1.8483458582191368,12.647122727508759
1.4,True,False,False,1.7481626582190906,13.621774552340867
1.5,True,False,False,1.6479794582191083,14.596426377171156
1.6,True,False,False,1.5477962582191331,15.570949601178654
1.7,True,False,False,1.4482058582191364,16.539860127804786
1.8,True,False,False,1.3480226582191115,17.514511952635075
1.9,True,False,False,1.2478394582191434,18.489163777467184
2.0,True,False,False,1.148249058219104,19.457945703268706
2.1,True,False,False,1.048065858219129,20.432597528098995
2.2,True,False,False,0.9478826582191111,21.407249352929284
2.3,True,False,False,0.8482922582191073,22.376031278732626
2.4,True,False,False,0.7481090582191392,23.350683103562915
2.5,True,False,False,0.6479258582190788,24.325334928393204
2.6,True,False,False,0.5483354582191247,25.294245455019336
2.7,True,False,False,0.44815225821910687,26.268768679026834
2.8,True,False,False,0.3479690582191317,27.243420503857124
2.9,True,False,False,0.24778585821911392,28.21807232868923
3.0,True,False,False,0.1481954582191527,29.186982855313545
3.1,True,False,False,0.048012258219106485,30.161506079321043
3.2,True,True,False,0.0,31.136157904151332
