scenario_id,plan_id,year,procurement_mln,reservation_mln,holding_mln,fixed_opex_mln,capex_mln,total_mln,discount_factor,pv_total_mln,cumulative_capex_mln,take_or_pay_topup_mln
BASE,P3_isru_zbo,2035,796.128420,51.380670,10.652147,0.000000,0.000000,858.161237,1.000000,858.161237,0.000000,0.000000
BASE,P3_isru_zbo,2036,948.921160,68.873400,14.646725,0.000000,1250.000000,2282.441285,0.925926,2113.371560,1250.000000,0.000000
BASE,P3_isru_zbo,2037,1295.374980,87.478350,18.925506,6.000000,180.000000,1587.778836,0.857339,1361.264434,1430.000000,0.000000
BASE,P3_isru_zbo,2038,1302.982680,72.797400,19.370867,82.000000,0.000000,1477.150947,0.793832,1172.610047,1430.000000,0.000000
BASE,P3_isru_zbo,2039,1739.332240,88.893300,31.512570,82.000000,0.000000,1941.738110,0.735030,1427.235477,1430.000000,0.000000
BASE,P3_isru_zbo,2040,2292.158410,98.210550,34.619441,82.000000,0.000000,2506.988401,0.680583,1706.214181,1430.000000,0.000000
