scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
BASE,P2z_earth_new_zbo,RESERVE_45D,hard,2038-01: физический запас 29.146 т < 45-дневного резерва 30.822 т,2038,1,,29.145942,30.821918,1.675976
BASE,P2z_earth_new_zbo,RESERVE_45D,hard,2039-01: физический запас 37.776 т < 45-дневного резерва 39.452 т,2039,1,,37.776085,39.452055,1.675970
BASE,P2z_earth_new_zbo,RESERVE_45D,hard,2040-01: физический запас 46.406 т < 45-дневного резерва 48.082 т,2040,1,,46.406226,48.082192,1.675966
