family,value,reference_pass,target_pass,delta_pv_mln,target_first_rule,target_first_year
early_zbo,6,True,False,12.190756874670114,RESERVE_45D,2039
early_zbo,7,True,False,26.403419390164345,RESERVE_45D,2039
early_zbo,8,True,False,28.293785807201857,RESERVE_45D,2040
early_zbo,9,True,False,30.20753513812633,RESERVE_45D,2040
early_zbo,10,True,False,32.14466738294141,RESERVE_45D,2040
early_zbo,11,True,False,34.10518254164526,RESERVE_45D,2040
early_zbo,12,True,False,36.0890806142379,RESERVE_45D,2040
early_zbo,13,True,False,38.09636160071932,RESERVE_45D,2040
early_zbo,14,True,False,40.12702550109134,RESERVE_45D,2040
early_zbo,15,True,False,42.18107231535032,RESERVE_45D,2040
early_zbo,16,True,False,44.25850204349808,RESERVE_45D,2040
early_zbo,17,True,False,46.35931468553645,RESERVE_45D,2040
early_zbo,18,True,False,48.48351024146177,RESERVE_45D,2040
reservation_only,1,True,False,0.46753343303498696,RESERVE_45D,2038
reservation_only,full_headroom,True,False,69.11523921952721,RESERVE_45D,2038
early_zbo_plus_stock,0.0,True,False,48.48351024146177,RESERVE_45D,2040
early_zbo_plus_stock,0.1,True,True,49.45803346546927,,
