scenario_id,plan_id,year,procurement_mln,reservation_mln,holding_mln,fixed_opex_mln,capex_mln,total_mln,discount_factor,pv_total_mln,cumulative_capex_mln,take_or_pay_topup_mln
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2035,796.128420,51.380670,11.022013,0.000000,0.000000,858.531103,1.000000,858.531103,0.000000,0.000000
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2036,948.921160,68.873400,14.646725,0.000000,1250.000000,2282.441285,0.925926,2113.371560,1250.000000,0.000000
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2037,1295.374980,87.478350,18.925506,6.000000,180.000000,1587.778836,0.857339,1361.264434,1430.000000,0.000000
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2038,2703.718688,117.297400,14.485661,82.000000,0.000000,2917.501749,0.793832,2316.006951,1430.000000,0.000000
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2039,2911.383660,130.000000,37.360358,82.000000,0.000000,3160.744018,0.735030,2323.241210,1430.000000,0.000000
TEAM_TRAJ_T1_MANDATORY_STRESS,P3_isru_zbo_policy_T1_mandatory_stress,2040,2985.458720,130.000000,40.391237,82.000000,0.000000,3237.849957,0.680583,2203.626275,1430.000000,0.000000
