scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,1,BASE,70.000000,0.045000,12.328859,9.156333,9.156333,0.412035,21.073157,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,12.739824,0.752060,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,2,BASE,70.000000,0.045000,12.739824,9.156333,9.156333,0.412035,21.484122,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,13.150789,0.776718,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,3,BASE,70.000000,0.045000,13.150789,9.156333,9.156333,0.412035,21.895087,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,13.561754,0.801376,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,4,BASE,70.000000,0.045000,13.561754,9.156333,9.156333,0.412035,22.306052,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,13.972719,0.826034,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,5,BASE,70.000000,0.045000,13.972719,9.156333,9.156333,0.412035,22.717017,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,14.383684,0.850692,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,6,BASE,70.000000,0.045000,14.383684,9.156333,9.156333,0.412035,23.127982,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,14.794649,0.875350,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,7,BASE,70.000000,0.045000,14.794649,9.156333,9.156333,0.412035,23.538947,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,15.205614,0.900008,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,8,BASE,70.000000,0.045000,15.205614,9.156333,9.156333,0.412035,23.949912,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,15.616579,0.924666,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,9,BASE,70.000000,0.045000,15.616579,9.156333,9.156333,0.412035,24.360877,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,16.027544,0.949324,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,10,BASE,70.000000,0.045000,16.027544,9.156333,9.156333,0.412035,24.771842,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,16.438509,0.973982,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,11,BASE,70.000000,0.045000,16.438509,9.156333,9.156333,0.412035,25.182807,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,16.849474,0.998639,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2035,12,BASE,70.000000,0.045000,16.849474,9.156333,9.156333,0.412035,25.593772,8.333333,6.666667,8.333333,6.666667,0.000000,0.000000,17.260439,1.023297,9.156333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,1,BASE,70.000000,0.045000,17.260439,12.754317,12.754317,0.573944,29.440811,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,17.774145,1.051038,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,2,BASE,70.000000,0.045000,17.774145,12.754317,12.754317,0.573944,29.954517,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,18.287851,1.081860,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,3,BASE,70.000000,0.045000,18.287851,12.754317,12.754317,0.573944,30.468223,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,18.801556,1.112682,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,4,BASE,70.000000,0.045000,18.801556,12.754317,12.754317,0.573944,30.981929,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,19.315262,1.143505,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,5,BASE,70.000000,0.045000,19.315262,12.754317,12.754317,0.573944,31.495634,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,19.828968,1.174327,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,6,BASE,70.000000,0.045000,19.828968,12.754317,12.754317,0.573944,32.009340,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,20.342674,1.205149,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,7,BASE,70.000000,0.045000,20.342674,12.754317,12.754317,0.573944,32.523046,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,20.856379,1.235972,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,8,BASE,70.000000,0.045000,20.856379,12.754317,12.754317,0.573944,33.036752,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,21.370085,1.266794,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,9,BASE,70.000000,0.045000,21.370085,12.754317,12.754317,0.573944,33.550457,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,21.883791,1.297616,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,10,BASE,70.000000,0.045000,21.883791,12.754317,12.754317,0.573944,34.064163,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,22.397497,1.328439,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,11,BASE,70.000000,0.045000,22.397497,12.754317,12.754317,0.573944,34.577869,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,22.911202,1.359261,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2036,12,BASE,70.000000,0.045000,22.911202,12.754317,12.754317,0.573944,35.091575,11.666667,8.750000,11.666667,8.750000,0.000000,0.000000,23.424908,1.390083,12.754317
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,1,BASE,70.000000,0.045000,23.424908,15.833333,15.833333,0.712500,38.545741,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,22.712408,1.384119,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,2,BASE,70.000000,0.045000,22.712408,15.833333,15.833333,0.712500,37.833241,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,21.999908,1.341369,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,3,BASE,70.000000,0.045000,21.999908,15.833333,15.833333,0.712500,37.120741,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,21.287408,1.298619,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,4,BASE,70.000000,0.045000,21.287408,15.833333,15.833333,0.712500,36.408241,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,20.574908,1.255869,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,5,BASE,70.000000,0.045000,20.574908,15.833333,15.833333,0.712500,35.695741,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,19.862408,1.213119,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,6,BASE,70.000000,0.045000,19.862408,15.833333,15.833333,0.712500,34.983241,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,19.149908,1.170369,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,7,ZBO,120.000000,0.012000,19.149908,16.373233,16.373233,0.196479,35.326663,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,19.493329,1.159297,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,8,ZBO,120.000000,0.012000,19.493329,16.373233,16.373233,0.196479,35.670084,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,19.836750,1.179902,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,9,ZBO,120.000000,0.012000,19.836750,16.373233,16.373233,0.196479,36.013505,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,20.180172,1.200508,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,10,ZBO,120.000000,0.012000,20.180172,16.373233,16.373233,0.196479,36.356926,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,20.523593,1.221113,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,11,ZBO,120.000000,0.012000,20.523593,16.373233,16.373233,0.196479,36.700347,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,20.867014,1.241718,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2037,12,ZBO,120.000000,0.012000,20.867014,16.373233,16.373233,0.196479,37.043769,15.833333,11.250000,15.833333,11.250000,0.000000,0.000000,21.210435,1.262323,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,1,ZBO,120.000000,0.012000,21.210435,21.814283,21.814283,0.261771,42.762947,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,21.929614,1.294201,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,2,ZBO,120.000000,0.012000,21.929614,21.814283,21.814283,0.261771,43.482126,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,22.648792,1.337352,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,3,ZBO,120.000000,0.012000,22.648792,21.814283,21.814283,0.261771,44.201304,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,23.367971,1.380503,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,4,ZBO,120.000000,0.012000,23.367971,21.814283,21.814283,0.261771,44.920483,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,24.087150,1.423654,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,5,ZBO,120.000000,0.012000,24.087150,21.814283,21.814283,0.261771,45.639662,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,24.806328,1.466804,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,6,ZBO,120.000000,0.012000,24.806328,21.814283,21.814283,0.261771,46.358840,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,25.525507,1.509955,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,7,ZBO,120.000000,0.012000,25.525507,21.814283,21.814283,0.261771,47.078019,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,26.244685,1.553106,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,8,ZBO,120.000000,0.012000,26.244685,21.814283,21.814283,0.261771,47.797197,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,26.963864,1.596256,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,9,ZBO,120.000000,0.012000,26.963864,21.814283,21.814283,0.261771,48.516376,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,27.683043,1.639407,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,10,ZBO,120.000000,0.012000,27.683043,21.814283,21.814283,0.261771,49.235555,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,28.402221,1.682558,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,11,ZBO,120.000000,0.012000,28.402221,21.814283,21.814283,0.261771,49.954733,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,29.121400,1.725709,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2038,12,ZBO,120.000000,0.012000,29.121400,21.814283,21.814283,0.261771,50.673912,20.833333,14.166667,20.833333,14.166667,0.000000,0.000000,29.840578,1.768859,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,1,ZBO,120.000000,0.012000,29.840578,27.718467,27.718467,0.332622,57.226423,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,30.559757,1.812010,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,2,ZBO,120.000000,0.012000,30.559757,27.718467,27.718467,0.332622,57.945602,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,31.278935,1.855161,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,3,ZBO,120.000000,0.012000,31.278935,27.718467,27.718467,0.332622,58.664780,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,31.998114,1.898311,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,4,ZBO,120.000000,0.012000,31.998114,27.718467,27.718467,0.332622,59.383959,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,32.717292,1.941462,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,5,ZBO,120.000000,0.012000,32.717292,27.718467,27.718467,0.332622,60.103137,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,33.436470,1.984613,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,6,ZBO,120.000000,0.012000,33.436470,27.718467,27.718467,0.332622,60.822315,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,34.155649,2.027764,15.833333
TEAM_EARTH_NEW_DELAY_12M,P2z_stock_3.2t,2039,7,ZBO,120.000000,0.012000,34.155649,27.718467,27.718467,0.332622,61.541494,26.666667,17.500000,26.666667,17.500000,0.000000,0.000000,34.874827,2.070914,15.833333
