scenario_id,plan_id,investment_id,name,option_fee_mln,option_date,exercise_cost_mln,exercise_date,commissioning_date,fixed_opex_mln_per_year,note
TEAM_EXP12_DELAY_12M,P2z_delay12m_advance_buffer,EARTH_NEW,Earth-New option,90.000000,2035-01,270.000000,2035-01,2038-01,0.000000,
TEAM_EXP12_DELAY_12M,P2z_delay12m_advance_buffer,ZBO,ZBO modernization,0.000000,,180.000000,2037-07,2037-07,12.000000,
