demand_direction,isru_direction,status,pass_radius,fail_radius,demand_pass,isru_reduction_pass,demand_fail,isru_reduction_fail,first_rule,first_year,first_month,severity,actual,limit,excess
1.0,0.0,bracketed,6.625004971283488e-07,6.625014066230506e-07,6.625004971283488e-07,0.0,6.625014066230506e-07,0.0,RESERVE_45D,2040,1,hard,55.294556180328016,55.29455718064284,1.0003148247506033e-06
1.0,0.25,bracketed,6.307200237642974e-07,6.307209332589991e-07,6.307200237642974e-07,1.5768000594107434e-07,6.307209332589991e-07,1.5768023331474978e-07,RESERVE_45D,2040,1,hard,55.294554423158075,55.2945554233568,1.00019872206758e-06
1.0,0.5,bracketed,6.018490239512175e-07,6.018499334459193e-07,6.018490239512175e-07,3.0092451197560877e-07,6.018499334459193e-07,3.0092496672295965e-07,RESERVE_45D,2040,1,hard,55.29455282685794,55.29455382694871,1.000090769309736e-06
1.0,0.75,bracketed,5.755055099143647e-07,5.755064194090664e-07,5.755055099143647e-07,4.316291324357735e-07,5.755064194090664e-07,4.3162981455679983e-07,RESERVE_45D,2040,1,hard,55.29455137025526,55.29455237029673,1.0000414647493017e-06
1.0,1.0,bracketed,5.5137206800282e-07,5.513729774975218e-07,5.5137206800282e-07,5.5137206800282e-07,5.513729774975218e-07,5.513729774975218e-07,RESERVE_45D,2040,1,hard,55.294550035320526,55.294551035849636,1.0005291102288538e-06
0.75,1.0,bracketed,6.962336556171067e-07,6.962345651118085e-07,5.2217524171283e-07,6.962336556171067e-07,5.221759238338564e-07,6.962345651118085e-07,RESERVE_45D,2040,1,hard,55.29454842111842,55.29454942141255,1.0002941266407106e-06
0.5,1.0,bracketed,9.443392627872527e-07,9.443401722819544e-07,4.7216963139362633e-07,9.443392627872527e-07,4.721700861409772e-07,9.443401722819544e-07,RESERVE_45D,2040,1,hard,55.29454565633543,55.294546656363735,1.0000283054978354e-06
0.25,1.0,bracketed,1.4671732060378417e-06,1.4671741155325435e-06,3.6679330150946043e-07,1.4671732060378417e-06,3.667935288831359e-07,1.4671741155325435e-06,RESERVE_45D,2040,1,hard,55.29453982947794,55.294540829617524,1.0001395835956828e-06
0.0,1.0,bracketed,3.287044819444418e-06,3.2870457289391197e-06,0.0,3.287044819444418e-06,0.0,3.2870457289391197e-06,RESERVE_45D,2040,1,hard,55.294519547828955,55.2945205479452,1.000116242266813e-06
