plan_id,scenario_id,feasible,hard_violations,guideline_violations,total_cost_mln,pv_cost_mln,cost_per_served_t_mln,pv_cost_per_served_t_mln,capex_total_mln,procurement_total_mln,reservation_total_mln,holding_total_mln,fixed_opex_total_mln,served_total_t,shortage_total_t,shortage_critical_t,min_sl_total,min_sl_critical,losses_total_t,take_or_pay_idle_t,violations,experiment,variant
P2z_earth_new_zbo,MANDATORY_STRESS,False,3,2,11517.7645,9142.8978,8.0091,6.3577,540.0000,10300.8365,578.8462,56.0818,42.0000,1438.0826,95.9174,0.0000,0.8696,1.0000,29.4922,0.0000,BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-02,план без изменений
P2z_earth_new_zbo_adapted,MANDATORY_STRESS,True,0,0,12811.6461,10097.4719,8.3518,6.5824,540.0000,11482.3164,604.8271,142.5026,42.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,,EXP-02,адаптированный план
P2z_earth_new_zbo_adapted,BASE,False,17,0,12223.9504,9644.4762,8.7942,6.9385,540.0000,10754.2207,604.8271,282.9026,42.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,31.1209,0.0000,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-02,адаптированный план в BASE (цена хеджирования)
P3_isru_zbo,MANDATORY_STRESS,False,3,3,11167.3033,9031.6248,8.1873,6.6215,1430.0000,8970.4766,467.6337,47.1930,252.0000,1363.9826,170.0174,0.0000,0.8125,1.0000,28.5922,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-02,план без изменений
P3_isru_zbo_adapted,MANDATORY_STRESS,True,0,0,13291.5855,10636.6549,8.6647,6.9339,1430.0000,10968.6709,505.2292,135.6854,252.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.0009,0.0000,,EXP-02,адаптированный план
P3_isru_zbo_adapted,BASE,False,25,0,12599.5787,10097.5352,9.0644,7.2644,1430.0000,10026.8925,505.2292,385.4570,252.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,31.9009,0.0000,STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-02,адаптированный план в BASE (цена хеджирования)
P4_full,MANDATORY_STRESS,False,3,3,11278.0684,9213.3807,8.2685,6.7548,1790.0000,8703.1595,485.7159,47.1930,252.0000,1363.9826,170.0174,0.0000,0.8125,1.0000,28.5922,0.0000,BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040,EXP-02,план без изменений
P4_full_adapted,MANDATORY_STRESS,True,0,0,13112.3821,10578.2279,8.5478,6.8958,1790.0000,10366.3258,556.2966,147.7598,252.0000,1534.0000,0.0000,0.0000,1.0000,1.0000,31.4082,0.0000,,EXP-02,адаптированный план
P4_full_adapted,BASE,False,25,0,12773.1537,10305.7425,9.1893,7.4142,1790.0000,9777.3258,556.2966,397.5314,252.0000,1390.0000,0.0000,0.0000,1.0000,1.0000,32.3082,0.0000,STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040,EXP-02,адаптированный план в BASE (цена хеджирования)
