section,metric,year,a,b,delta,label_a,label_b
yearly,"Served total, t",2038,244.992388,287.500000,42.507612,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL total,2038,0.852147,1.000000,0.147853,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL critical,2038,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Shortage, t",2038,42.507612,0.000000,-42.507612,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Delivered (actual), t",2038,216.771400,301.037200,84.265800,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Losses, t",2038,2.601257,3.612446,1.011190,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,Losses/throughput,2038,0.012000,0.012000,-0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Opening stock, t",2038,30.822244,35.445516,4.623271,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Closing stock, t",2038,0.000000,45.370269,45.370269,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"45-day reserve, t",2038,35.445205,35.445205,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Demand total, t",2039,368.000000,368.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Served total, t",2039,298.990141,368.000000,69.009859,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL total,2039,0.812473,1.000000,0.187527,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL critical,2039,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Shortage, t",2039,69.009859,0.000000,-69.009859,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Delivered (actual), t",2039,302.621600,382.514900,79.893300,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Losses, t",2039,3.631459,4.590179,0.958720,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,Losses/throughput,2039,0.012000,0.012000,-0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Opening stock, t",2039,0.000000,45.370269,45.370269,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Closing stock, t",2039,0.000000,55.294990,55.294990,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"45-day reserve, t",2039,45.369863,45.369863,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Demand total, t",2040,448.500000,448.500000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Served total, t",2040,390.000057,448.500000,58.499943,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL total,2040,0.869565,1.000000,0.130435,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,SL critical,2040,1.000000,1.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Shortage, t",2040,58.499943,0.000000,-58.499943,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Delivered (actual), t",2040,394.736900,420.000000,25.263100,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Losses, t",2040,4.736843,5.040000,0.303157,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,Losses/throughput,2040,0.012000,0.012000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Opening stock, t",2040,0.000000,55.294990,55.294990,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"Closing stock, t",2040,0.000000,21.754990,21.754990,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
yearly,"45-day reserve, t",2040,55.294521,55.294521,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2035,796.128420,796.128420,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2035,51.380670,51.380670,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2035,10.652147,10.652147,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2035,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2035,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Total, mln",2035,858.161237,858.161237,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"PV total, mln",2035,858.161237,858.161237,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Procurement, mln",2036,948.921160,948.921160,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Reservation, mln",2036,68.873400,68.873400,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Holding, mln",2036,14.646725,14.646725,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"Fixed OPEX, mln",2036,0.000000,0.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
finance,"CAPEX, mln",2036,1250.000000,1250.000000,0.000000,P3_isru_zbo fixed/STRESS,P3_isru_zbo adapted/STRESS
