scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
BASE,P1_earth_only,BASE_TOTAL_SERVICE,hard,2040: общий уровень сервиса 0.7499 < 0.97 (дефицит 97.548 т),2040,,,0.749878,0.970000,0.220122
BASE,P1_earth_only,RESERVE_45D,hard,2040-01: физический запас 5.952 т < 45-дневного резерва 48.082 т,2040,1,,5.952401,48.082192,42.129790
