scenario_id,plan_id,year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,service_level_total,service_level_critical,shortage_total_t,shortage_critical_t,opening_t,closing_t,planned_inflow_t,throughput_t,losses_t,loss_ratio,reserve_required_t,reserve_ok,average_stock_t,storage_mode_end,storage_capacity_end_t,emergency_share_of_demand,balance_residual_t
MANDATORY_STRESS,P4_full,2035,100.000000,80.000000,100.000000,80.000000,1.000000,1.000000,0.000000,0.000000,12.328859,17.260439,109.876000,109.876000,4.944420,0.045000,12.328767,True,14.794649,BASE,70.000000,0.000000,-0.000000
MANDATORY_STRESS,P4_full,2036,140.000000,105.000000,140.000000,105.000000,1.000000,1.000000,0.000000,0.000000,17.260439,23.424908,153.051800,153.051800,6.887331,0.045000,17.260274,True,20.342674,BASE,70.000000,0.000000,-0.000000
MANDATORY_STRESS,P4_full,2037,190.000000,135.000000,190.000000,135.000000,1.000000,1.000000,0.000000,0.000000,23.424908,30.822244,203.188200,203.188200,5.790864,0.028500,23.424658,True,26.285425,ZBO,120.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full,2038,287.500000,195.500000,244.992388,195.500000,0.852147,1.000000,42.507612,0.000000,30.822244,0.000000,261.771400,216.771400,2.601257,0.012000,35.445205,False,4.123077,ZBO,120.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full,2039,368.000000,241.500000,298.990141,241.500000,0.812473,1.000000,69.009859,0.000000,0.000000,0.000000,332.621600,302.621600,3.631459,0.012000,45.369863,False,0.000000,ZBO,120.000000,0.000000,-0.000000
MANDATORY_STRESS,P4_full,2040,448.500000,287.500000,390.000057,287.500000,0.869565,1.000000,58.499943,0.000000,0.000000,0.000000,394.736900,394.736900,4.736843,0.012000,55.294521,False,0.000000,ZBO,120.000000,0.000000,0.000000
