scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,1,BASE,70.000000,0.045000,9.863049,7.325067,7.325067,0.329628,16.858488,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,10.191821,0.601646,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,2,BASE,70.000000,0.045000,10.191821,7.325067,7.325067,0.329628,17.187260,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,10.520593,0.621372,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,3,BASE,70.000000,0.045000,10.520593,7.325067,7.325067,0.329628,17.516032,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,10.849365,0.641099,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,4,BASE,70.000000,0.045000,10.849365,7.325067,7.325067,0.329628,17.844804,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,11.178137,0.660825,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,5,BASE,70.000000,0.045000,11.178137,7.325067,7.325067,0.329628,18.173576,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,11.506909,0.680551,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,6,BASE,70.000000,0.045000,11.506909,7.325067,7.325067,0.329628,18.502348,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,11.835681,0.700278,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,7,BASE,70.000000,0.045000,11.835681,7.325067,7.325067,0.329628,18.831120,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,12.164453,0.720004,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,8,BASE,70.000000,0.045000,12.164453,7.325067,7.325067,0.329628,19.159892,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,12.493225,0.739730,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,9,BASE,70.000000,0.045000,12.493225,7.325067,7.325067,0.329628,19.488664,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,12.821997,0.759457,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,10,BASE,70.000000,0.045000,12.821997,7.325067,7.325067,0.329628,19.817436,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,13.150769,0.779183,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,11,BASE,70.000000,0.045000,13.150769,7.325067,7.325067,0.329628,20.146208,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,13.479541,0.798909,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2035,12,BASE,70.000000,0.045000,13.479541,7.325067,7.325067,0.329628,20.474980,6.666667,5.333333,6.666667,5.333333,0.000000,0.000000,13.808313,0.818636,7.325067
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,1,BASE,70.000000,0.045000,13.808313,10.203450,10.203450,0.459155,23.552608,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,14.219274,0.840828,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,2,BASE,70.000000,0.045000,14.219274,10.203450,10.203450,0.459155,23.963569,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,14.630236,0.865485,10.203450
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2036,3,BASE,70.000000,0.045000,14.630236,10.203450,10.203450,0.459155,24.374531,9.333333,7.000000,9.333333,7.000000,0.000000,0.000000,15.041197,0.890143,10.203450
