scenario_id,plan_id,year,procurement_mln,reservation_mln,holding_mln,fixed_opex_mln,capex_mln,total_mln,discount_factor,pv_total_mln,cumulative_capex_mln,take_or_pay_topup_mln
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2035,796.128420,51.380670,10.652147,0.000000,360.000000,1218.161237,1.000000,1218.161237,360.000000,0.000000
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2036,948.921160,68.873400,14.646725,0.000000,0.000000,1032.441285,0.925926,955.964153,360.000000,0.000000
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2037,1271.636220,90.775500,17.805036,6.000000,180.000000,1566.216756,0.857339,1342.778426,540.000000,0.000000
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2038,1687.576940,107.031600,25.351093,12.000000,0.000000,1831.959633,0.793832,1454.268621,540.000000,0.000000
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2039,2213.332240,126.393300,31.564795,12.000000,0.000000,2383.290335,0.735030,1751.789544,540.000000,0.000000
TEAM_EARTH_NEW_DELAY_00M,P2z_guarded_calendar_3m,2040,2766.158410,135.710550,34.671666,12.000000,0.000000,2948.540626,0.680583,2006.727206,540.000000,0.000000
