scenario_id,plan_id,source_id,name,year,period,available_months,period_fraction,capacity_t_per_year,reserved_capacity_t,reserved_period_t,ordered_t,planned_delivery_t,actual_delivery_t,delivery_share,price_mln_per_t,price_multiplier,payable_volume_t,take_or_pay_idle_t,procurement_mln,reservation_payment_mln
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2034,prep,1,1.000000,110.000000,12.909800,12.909800,12.909800,12.909800,12.328859,1.000000,8.900000,1.000000,12.909800,0.000000,114.897220,1.936470
MANDATORY_STRESS,P3_isru_zbo_reactive,A,Earth-Core,2035,year,12,1.000000,190.000000,109.876000,109.876000,109.876000,109.876000,109.876000,1.000000,6.200000,1.000000,109.876000,0.000000,681.231200,49.444200
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2035,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,C,Earth-New,2035,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,D,Lunar-ISRU,2035,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,E,Emergency,2035,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,A,Earth-Core,2036,year,12,1.000000,190.000000,153.052000,153.052000,153.051800,153.051800,153.051800,1.000000,6.200000,1.000000,153.051800,0.000000,948.921160,68.873400
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2036,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,C,Earth-New,2036,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,D,Lunar-ISRU,2036,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,E,Emergency,2036,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,A,Earth-Core,2037,year,12,1.000000,190.000000,190.000000,190.000000,190.000000,190.000000,190.000000,1.000000,6.200000,1.000000,190.000000,0.000000,1178.000000,85.500000
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2037,year,12,1.000000,110.000000,13.189000,13.189000,13.188200,13.188200,13.188200,1.000000,8.900000,1.000000,13.188200,0.000000,117.374980,1.978350
MANDATORY_STRESS,P3_isru_zbo_reactive,C,Earth-New,2037,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,D,Lunar-ISRU,2037,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,E,Emergency,2037,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,A,Earth-Core,2038,year,12,1.000000,190.000000,161.772000,161.772000,161.771400,161.771400,161.771400,1.000000,7.750000,1.250000,161.771400,0.000000,1253.728350,72.797400
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2038,year,12,1.000000,110.000000,110.000000,110.000000,48.877600,48.877800,48.877800,1.000000,11.125000,1.250000,48.877600,0.000000,543.763300,16.500000
MANDATORY_STRESS,P3_isru_zbo_reactive,C,Earth-New,2038,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,D,Lunar-ISRU,2038,year,10,0.833333,120.000000,120.000000,100.000000,100.000000,100.000000,55.000000,0.550000,3.000000,1.000000,100.000000,0.000000,300.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,E,Emergency,2038,year,12,1.000000,80.000000,80.000000,80.000000,39.190300,39.190500,39.190500,1.000000,13.800000,1.000000,39.190300,0.000000,540.826140,28.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,A,Earth-Core,2039,year,12,1.000000,190.000000,190.000000,190.000000,190.000000,190.000000,190.000000,1.000000,7.750000,1.250000,190.000000,0.000000,1472.500000,85.500000
MANDATORY_STRESS,P3_isru_zbo_reactive,B,Earth-Flex,2039,year,12,1.000000,110.000000,102.516000,102.516000,102.514800,102.514800,102.514800,1.000000,11.125000,1.250000,102.514800,0.000000,1140.477150,15.377400
MANDATORY_STRESS,P3_isru_zbo_reactive,C,Earth-New,2039,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P3_isru_zbo_reactive,D,Lunar-ISRU,2039,year,12,1.000000,120.000000,120.000000,120.000000,120.000000,120.000000,90.000000,0.750000,3.000000,1.000000,120.000000,0.000000,360.000000,0.000000
