scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_HIGH_DEMAND,P4_full,2035,1,BASE,70.000000,0.045000,12.328859,9.156333,9.156333,0.412035,21.073157,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,11.906491,0.727060,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,2,BASE,70.000000,0.045000,11.906491,9.156333,9.156333,0.412035,20.650789,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,11.484122,0.701718,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,3,BASE,70.000000,0.045000,11.484122,9.156333,9.156333,0.412035,20.228421,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,11.061754,0.676376,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,4,BASE,70.000000,0.045000,11.061754,9.156333,9.156333,0.412035,19.806052,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,10.639386,0.651034,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,5,BASE,70.000000,0.045000,10.639386,9.156333,9.156333,0.412035,19.383684,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,10.217017,0.625692,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,6,BASE,70.000000,0.045000,10.217017,9.156333,9.156333,0.412035,18.961316,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,9.794649,0.600350,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,7,BASE,70.000000,0.045000,9.794649,9.156333,9.156333,0.412035,18.538947,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,9.372281,0.575008,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,8,BASE,70.000000,0.045000,9.372281,9.156333,9.156333,0.412035,18.116579,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,8.949912,0.549666,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,9,BASE,70.000000,0.045000,8.949912,9.156333,9.156333,0.412035,17.694211,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,8.527544,0.524324,9.156333
TEAM_HIGH_DEMAND,P4_full,2035,10,BASE,70.000000,0.045000,8.527544,9.156333,9.156333,0.412035,17.271842,9.166667,7.333333,9.166667,7.333333,0.000000,0.000000,8.105176,0.498982,9.156333
