scenario_id,plan_id,rule_id,year,metric,actual,limit,operator,ok,severity,scope
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2035,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2036,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2037,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2038,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2039,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_CRITICAL_SERVICE,2040,critical_service_level,1.000000,0.990000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2035,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2036,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2037,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2038,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2039,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,BASE_TOTAL_SERVICE,2040,total_service_level,1.000000,0.970000,>=,True,guideline,
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2037,2035,cumulative_capex,360.000000,1800.000000,<=,True,hard,through_2037
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2037,2036,cumulative_capex,360.000000,1800.000000,<=,True,hard,through_2037
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2037,2037,cumulative_capex,540.000000,1800.000000,<=,True,hard,through_2037
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2035,cumulative_capex,360.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2036,cumulative_capex,360.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2037,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2038,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2039,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,CAPEX_2040,2040,cumulative_capex,540.000000,2800.000000,<=,True,hard,through_2040
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2035,opening_stock_vs_45d_reserve_t,12.328859,12.328767,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2036,opening_stock_vs_45d_reserve_t,17.260439,17.260274,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2037,opening_stock_vs_45d_reserve_t,23.424908,23.424658,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2038,opening_stock_vs_45d_reserve_t,35.445534,35.445205,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2039,opening_stock_vs_45d_reserve_t,45.370287,45.369863,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,RESERVE_45D,2040,opening_stock_vs_45d_reserve_t,55.295008,55.294521,>=,True,hard,physical
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,EMERGENCY_BASE_STREAK,2035,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
MANDATORY_STRESS,P2z_earth_new_zbo_adapted,EMERGENCY_BASE_STREAK,2036,consecutive_years_with_emergency_as_base_channel,0,2.000000,<=,True,hard,базовый канал = доля Emergency в спросе > 20%; доля в этом году 0.000
