plan_id,year,period,source_id,payable_volume_t,price_before,price_after,delta_procurement_mln,booked_year,delta_pv_mln
P4_full,2037,year,D,0.0,3.0,3.0,0.0,2037,0.0
P4_full,2037,year,E,0.0,13.8,13.8,0.0,2037,0.0
P4_full,2038,year,A,161.7714,6.2,7.75,250.74567000000002,2038,199.04999714220392
P4_full,2038,year,B,0.0,8.9,11.125,0.0,2038,0.0
P4_full,2038,year,C,0.0,7.1,7.1,0.0,2038,0.0
P4_full,2038,year,D,100.0,3.0,3.0,0.0,2038,0.0
P4_full,2038,year,E,0.0,13.8,13.8,0.0,2038,0.0
P4_full,2039,year,A,190.0,6.2,7.75,294.5,2039,216.46629164855548
P4_full,2039,year,B,0.0,8.9,11.125,0.0,2039,0.0
P4_full,2039,year,C,22.6216,7.1,7.1,0.0,2039,0.0
P4_full,2039,year,D,120.0,3.0,3.0,0.0,2039,0.0
P4_full,2039,year,E,0.0,13.8,13.8,0.0,2039,0.0
P4_full,2040,year,A,190.0,6.2,6.2,0.0,2040,0.0
P4_full,2040,year,B,0.0,8.9,8.9,0.0,2040,0.0
P4_full,2040,year,C,84.7369,7.1,7.1,0.0,2040,0.0
P4_full,2040,year,D,120.0,3.0,3.0,0.0,2040,0.0
P4_full,2040,year,E,0.0,13.8,13.8,0.0,2040,0.0
