delay_months,measure,year,opening_t,reserve_required_t,reserve_gap_t,reserve_ok,closing_t,shortage_t,service_total,service_critical,storage_capacity_end_t
3,none,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
3,none,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
3,none,2037,23.424908000000073,23.424657534246574,0.0,True,27.67356155000006,0.0,1.0,1.0,120.0
3,none,2038,27.67356155000006,30.82191780821918,3.1483562582191205,False,36.303704750000136,0.0,1.0,1.0,120.0
3,none,2039,36.303704750000136,39.45205479452055,3.148350044520413,False,44.933845550000186,0.0,1.0,1.0,120.0
3,none,2040,44.933845550000186,48.082191780821915,3.14834623082173,False,44.9339027500003,0.0,1.0,1.0,120.0
3,reactive_flex,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
3,reactive_flex,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
3,reactive_flex,2037,23.424908000000073,23.424657534246574,0.0,True,30.822478050000058,0.0,1.0,1.0,120.0
3,reactive_flex,2038,30.822478050000058,30.82191780821918,0.0,True,39.452621250000135,0.0,1.0,1.0,120.0
3,reactive_flex,2039,39.452621250000135,39.45205479452055,0.0,True,48.082762050000184,0.0,1.0,1.0,120.0
3,reactive_flex,2040,48.082762050000184,48.082191780821915,0.0,True,48.08281925000031,0.0,1.0,1.0,120.0
3,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
3,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,26.574498000000062,0.0,1.0,1.0,70.0
3,advance_buffer,2037,26.574498000000062,23.424657534246574,0.0,True,30.82315155000005,0.0,1.0,1.0,120.0
3,advance_buffer,2038,30.82315155000005,30.82191780821918,0.0,True,39.453294750000126,0.0,1.0,1.0,120.0
3,advance_buffer,2039,39.453294750000126,39.45205479452055,0.0,True,48.083435550000175,0.0,1.0,1.0,120.0
3,advance_buffer,2040,48.083435550000175,48.082191780821915,0.0,True,48.08349275000029,0.0,1.0,1.0,120.0
0,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
0,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,26.574498000000062,0.0,1.0,1.0,70.0
0,advance_buffer,2037,26.574498000000062,23.424657534246574,0.0,True,33.97183430000004,0.0,1.0,1.0,120.0
0,advance_buffer,2038,33.97183430000004,30.82191780821918,0.0,True,42.60197750000012,0.0,1.0,1.0,120.0
0,advance_buffer,2039,42.60197750000012,39.45205479452055,0.0,True,51.23211830000017,0.0,1.0,1.0,120.0
0,advance_buffer,2040,51.23211830000017,48.082191780821915,0.0,True,51.232175500000295,0.0,1.0,1.0,120.0
6,none,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
6,none,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
6,none,2037,23.424908000000073,23.424657534246574,0.0,True,24.524878800000067,0.0,1.0,1.0,120.0
6,none,2038,24.524878800000067,30.82191780821918,6.297039008219112,False,33.155022000000145,0.0,1.0,1.0,120.0
6,none,2039,33.155022000000145,39.45205479452055,6.297032794520405,False,41.785162800000194,0.0,1.0,1.0,120.0
6,none,2040,41.785162800000194,48.082191780821915,6.297028980821722,False,41.78522000000032,0.0,1.0,1.0,120.0
6,reactive_flex,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
6,reactive_flex,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
6,reactive_flex,2037,23.424908000000073,23.424657534246574,0.0,True,30.822711800000064,0.0,1.0,1.0,120.0
6,reactive_flex,2038,30.822711800000064,30.82191780821918,0.0,True,39.45285500000014,0.0,1.0,1.0,120.0
6,reactive_flex,2039,39.45285500000014,39.45205479452055,0.0,True,48.08299580000019,0.0,1.0,1.0,120.0
6,reactive_flex,2040,48.08299580000019,48.082191780821915,0.0,True,48.08305300000032,0.0,1.0,1.0,120.0
6,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
6,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,29.723133000000068,0.0,1.0,1.0,70.0
6,advance_buffer,2037,29.723133000000068,23.424657534246574,0.0,True,30.823103800000062,0.0,1.0,1.0,120.0
6,advance_buffer,2038,30.823103800000062,30.82191780821918,0.0,True,39.45324700000013,0.0,1.0,1.0,120.0
6,advance_buffer,2039,39.45324700000013,39.45205479452055,0.0,True,48.08338780000018,0.0,1.0,1.0,120.0
6,advance_buffer,2040,48.08338780000018,48.082191780821915,0.0,True,48.083445000000296,0.0,1.0,1.0,120.0
0,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
0,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,29.723133000000068,0.0,1.0,1.0,70.0
0,advance_buffer,2037,29.723133000000068,23.424657534246574,0.0,True,37.120469300000046,0.0,1.0,1.0,120.0
0,advance_buffer,2038,37.120469300000046,30.82191780821918,0.0,True,45.750612500000116,0.0,1.0,1.0,120.0
0,advance_buffer,2039,45.750612500000116,39.45205479452055,0.0,True,54.380753300000165,0.0,1.0,1.0,120.0
0,advance_buffer,2040,54.380753300000165,48.082191780821915,0.0,True,54.38081050000028,0.0,1.0,1.0,120.0
12,none,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
12,none,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
12,none,2037,23.424908000000073,23.424657534246574,0.0,True,18.009908000000095,0.0,1.0,1.0,120.0
12,none,2038,18.009908000000095,30.82191780821918,12.812009808219084,False,26.64005120000017,0.0,1.0,1.0,120.0
12,none,2039,26.64005120000017,39.45205479452055,12.81200359452038,False,35.270192000000165,0.0,1.0,1.0,120.0
12,none,2040,35.270192000000165,48.082191780821915,12.81199978082175,False,35.27024920000028,0.0,1.0,1.0,120.0
12,reactive_flex,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
12,reactive_flex,2036,17.260439000000027,17.26027397260274,0.0,True,23.424908000000073,0.0,1.0,1.0,70.0
12,reactive_flex,2037,23.424908000000073,23.424657534246574,0.0,True,30.82307850000005,0.0,1.0,1.0,120.0
12,reactive_flex,2038,30.82307850000005,30.82191780821918,0.0,True,39.45322170000013,0.0,1.0,1.0,120.0
12,reactive_flex,2039,39.45322170000013,39.45205479452055,0.0,True,48.08336250000018,0.0,1.0,1.0,120.0
12,reactive_flex,2040,48.08336250000018,48.082191780821915,0.0,True,48.08341970000029,0.0,1.0,1.0,120.0
12,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
12,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,36.23718800000007,0.0,1.0,1.0,70.0
12,advance_buffer,2037,36.23718800000007,23.424657534246574,0.0,True,30.82218800000009,0.0,1.0,1.0,120.0
12,advance_buffer,2038,30.82218800000009,30.82191780821918,0.0,True,39.45233120000016,0.0,1.0,1.0,120.0
12,advance_buffer,2039,39.45233120000016,39.45205479452055,0.0,True,48.08247200000021,0.0,1.0,1.0,120.0
12,advance_buffer,2040,48.08247200000021,48.082191780821915,0.0,True,48.08252920000032,0.0,1.0,1.0,120.0
0,advance_buffer,2035,12.328859000000001,12.32876712328767,0.0,True,17.260439000000027,0.0,1.0,1.0,70.0
0,advance_buffer,2036,17.260439000000027,17.26027397260274,0.0,True,36.23718800000007,0.0,1.0,1.0,70.0
0,advance_buffer,2037,36.23718800000007,23.424657534246574,0.0,True,43.634524300000045,0.0,1.0,1.0,120.0
0,advance_buffer,2038,43.634524300000045,30.82191780821918,0.0,True,52.26466750000013,0.0,1.0,1.0,120.0
0,advance_buffer,2039,52.26466750000013,39.45205479452055,0.0,True,60.89480830000018,0.0,1.0,1.0,120.0
0,advance_buffer,2040,60.89480830000018,48.082191780821915,0.0,True,60.89486550000029,0.0,1.0,1.0,120.0
