scenario_id,plan_id,year,procurement_mln,reservation_mln,holding_mln,fixed_opex_mln,capex_mln,total_mln,discount_factor,pv_total_mln,cumulative_capex_mln,take_or_pay_topup_mln
BASE,P2z_earth_new_zbo,2035,796.128420,51.380670,11.022013,0.000000,360.000000,1218.531103,1.000000,1218.531103,360.000000,0.000000
BASE,P2z_earth_new_zbo,2036,948.921160,68.873400,14.646725,0.000000,0.000000,1032.441285,0.925926,955.964153,360.000000,0.000000
BASE,P2z_earth_new_zbo,2037,1271.636220,89.456700,18.322037,0.000000,180.000000,1559.414957,0.857339,1336.946980,540.000000,0.000000
BASE,P2z_earth_new_zbo,2038,1687.576940,107.031600,20.552608,6.000000,0.000000,1821.161148,0.793832,1445.696436,540.000000,0.000000
BASE,P2z_earth_new_zbo,2039,2213.332240,126.393300,25.988850,12.000000,0.000000,2377.714390,0.735030,1747.691058,540.000000,0.000000
BASE,P2z_earth_new_zbo,2040,2766.158410,135.710550,29.095721,12.000000,0.000000,2942.964681,0.680583,2002.932311,540.000000,0.000000
