scenario_id,plan_id,investment_id,name,option_fee_mln,option_date,exercise_cost_mln,exercise_date,commissioning_date,fixed_opex_mln_per_year,note
BASE,P2z_earth_new_zbo,EARTH_NEW,Earth-New option,90.000000,2035-01,270.000000,2035-01,2037-01,0.000000,
BASE,P2z_earth_new_zbo,ZBO,ZBO modernization,0.000000,,180.000000,2037-07,2037-07,12.000000,
