scenario_id,plan_id,year,procurement_mln,reservation_mln,holding_mln,fixed_opex_mln,capex_mln,total_mln,discount_factor,pv_total_mln,cumulative_capex_mln,take_or_pay_topup_mln
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2035,796.128420,51.380670,11.022013,0.000000,0.000000,858.531103,1.000000,858.531103,0.000000,0.000000
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2036,948.921160,68.873400,14.646725,0.000000,1250.000000,2282.441285,0.925926,2113.371560,1250.000000,0.000000
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2037,1295.374980,87.478350,18.925506,6.000000,180.000000,1587.778836,0.857339,1361.264434,1430.000000,0.000000
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2038,2703.718688,117.297400,14.485661,82.000000,0.000000,2917.501749,0.793832,2316.006951,1430.000000,0.000000
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2039,2711.133660,130.000000,38.665811,82.000000,0.000000,2961.799471,0.735030,2177.011029,1430.000000,0.000000
TEAM_TRAJ_T4_FAST_RECOVERY,P3_isru_zbo_policy_T4_fast_recovery,2040,2985.458720,130.000000,39.995774,82.000000,0.000000,3237.454494,0.680583,2203.357130,1430.000000,0.000000
