mode,variant,n,failures,failure_frequency,ci95_low,ci95_high,failure_reduction_pp,eliminated_failures,introduced_failures,shortage_t_mean,shortage_t_min,shortage_t_max,shortage_t_p05,shortage_t_p50,shortage_t_p95,critical_shortage_t_mean,critical_shortage_t_min,critical_shortage_t_max,critical_shortage_t_p05,critical_shortage_t_p50,critical_shortage_t_p95,min_service_total_mean,min_service_total_min,min_service_total_max,min_service_total_p05,min_service_total_p50,min_service_total_p95,min_service_critical_mean,min_service_critical_min,min_service_critical_max,min_service_critical_p05,min_service_critical_p50,min_service_critical_p95,max_reserve_gap_t_mean,max_reserve_gap_t_min,max_reserve_gap_t_max,max_reserve_gap_t_p05,max_reserve_gap_t_p50,max_reserve_gap_t_p95,pv_cost_mln_mean,pv_cost_mln_min,pv_cost_mln_max,pv_cost_mln_p05,pv_cost_mln_p50,pv_cost_mln_p95,delta_pv_mln_mean,delta_pv_mln_min,delta_pv_mln_max,delta_pv_mln_p05,delta_pv_mln_p50,delta_pv_mln_p95
independent,without_measure,10000,10000,1.0,0.9996160016293234,1.0,0.0,0,0,0.24739595337641937,0.0,5.464047244159758,0.0,0.0,2.1211243370669544,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,0.9994585213457363,0.9880557995168585,1.0,0.995354145688517,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,8.560216856470303,0.0849205294619253,17.026028968822736,2.080180236102687,8.523269468105738,15.0520607594355,10631.080761391617,10262.9694681094,10992.426678518323,10309.782588729211,10630.892255009432,10951.337211042972,0.0,0.0,0.0,0.0,0.0,0.0
independent,physical_stock,10000,4943,0.4943,0.48450488705233147,0.5040994905290942,50.57,5057,0,9.544010026729665e-15,0.0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.7713764864111579,0.0,8.425686568822833,0.0,0.0,6.451718359435494,10714.743174305464,10346.594558705643,11076.094503881495,10393.450414092384,10714.560080372605,11035.005036406146,83.66241291384755,83.48571796043143,83.66782536317442,83.62451731569453,83.6678253631726,83.66782536317442
independent,early_zbo_plus_stock,10000,4959,0.4959,0.4861039654944479,0.5056991832921915,50.41,5041,0,9.544010026729665e-15,0.0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.780446166620505,0.0,8.444009218822792,0.0,0.0,6.4700410094354535,10680.53338240776,10312.38476680794,11041.884711983792,10359.24062219468,10680.3502884749,11000.795244508443,49.452621016143866,49.27592606272992,49.45803346547109,49.414725417991214,49.45803346546927,49.45803346547109
comonotonic_demand_isru,without_measure,10000,9999,0.9999,0.9994337311025987,0.9999823473263989,0.0,0,0,0.5676082302291728,0.0,5.560994785687228,0.0,0.0,4.188676358131983,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,0.9987575999383236,0.987844019408254,1.0,0.9908347918769878,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,8.562070112246372,0.0,17.08036115457027,0.8666645978526,8.584774582110107,16.222243132660367,10631.087297609005,10261.785994230933,10992.85094911218,10309.627208447024,10630.68320880329,10951.396912626282,0.0,0.0,0.0,0.0,0.0,0.0
comonotonic_demand_isru,physical_stock,10000,4987,0.4987,0.4889025941176567,0.5084984042781069,50.12,5012,0,9.544010026729665e-15,0.0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,2.104718141691076,0.0,8.480018754570182,0.0,0.0,7.6219007326603805,10714.741046593294,10345.355406749908,11076.518774475355,10393.29469077165,10714.351034166462,11035.064737989456,83.65374898428777,83.47992696520669,83.66782536317442,83.56204604420991,83.6678253631726,83.66782536317442
comonotonic_demand_isru,early_zbo_plus_stock,10000,5003,0.5003,0.4905019483788454,0.5100978212221322,49.96,4996,0,9.544010026729665e-15,0.0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,9.075051821127999e-15,0.0,5.684341886080802e-14,0.0,0.0,2.842170943040401e-14,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,2.1138693000547026,0.0,8.49834140457014,0.0,0.002754832110078098,7.64022338266034,10680.53125469559,10311.145614852205,11042.308982577651,10359.084898873945,10680.141242268757,11000.854946091751,49.44395708658406,49.27013506750336,49.45803346547109,49.35225414650658,49.45803346546927,49.45803346547109
