section,metric,year,a,b,delta,label_a,label_b
yearly,"Дефицит, т",2039,69.009859,0.000000,-69.009859,без изменений/STRESS,реактивный/STRESS
yearly,"Поступление (факт), т",2039,302.621600,382.514800,79.893200,без изменений/STRESS,реактивный/STRESS
yearly,"Потери, т",2039,3.631459,4.590178,0.958718,без изменений/STRESS,реактивный/STRESS
yearly,Потери / поступление,2039,0.012000,0.012000,-0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на начало, т",2039,0.000000,45.379036,45.379036,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на конец, т",2039,0.000000,55.303658,55.303658,без изменений/STRESS,реактивный/STRESS
yearly,"45-дневный резерв, т",2039,45.369863,45.369863,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Спрос, т",2040,448.500000,448.500000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Обслужено, т",2040,390.000057,448.500000,58.499943,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса общий,2040,0.869565,1.000000,0.130435,без изменений/STRESS,реактивный/STRESS
yearly,Уровень сервиса критический,2040,1.000000,1.000000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Дефицит, т",2040,58.499943,0.000000,-58.499943,без изменений/STRESS,реактивный/STRESS
yearly,"Поступление (факт), т",2040,394.736900,453.946000,59.209100,без изменений/STRESS,реактивный/STRESS
yearly,"Потери, т",2040,4.736843,5.447352,0.710509,без изменений/STRESS,реактивный/STRESS
yearly,Потери / поступление,2040,0.012000,0.012000,0.000000,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на начало, т",2040,0.000000,55.303658,55.303658,без изменений/STRESS,реактивный/STRESS
yearly,"Запас на конец, т",2040,0.000000,55.302306,55.302306,без изменений/STRESS,реактивный/STRESS
yearly,"45-дневный резерв, т",2040,55.294521,55.294521,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2035,796.128420,796.128420,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2035,51.380670,51.380670,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2035,11.022013,11.022013,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2035,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2035,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2035,858.531103,858.531103,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2035,858.531103,858.531103,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2036,948.921160,948.921160,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2036,68.873400,68.873400,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2036,14.646725,14.646725,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2036,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2036,1250.000000,1250.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2036,2282.441285,2282.441285,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2036,2113.371560,2113.371560,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2037,1295.374980,1295.374980,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2037,87.478350,87.478350,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2037,18.925506,18.925506,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2037,6.000000,6.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2037,180.000000,180.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2037,1587.778836,1587.778836,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2037,1361.264434,1361.264434,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2038,1553.728350,2638.447200,1084.718850,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2038,72.797400,117.297400,44.500000,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2038,2.968616,14.130292,11.161677,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2038,82.000000,82.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2038,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2038,1711.494366,2851.874892,1140.380527,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2038,1358.639408,2263.910237,905.270829,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2039,2084.165300,2972.977150,888.811850,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2039,88.893300,100.877400,11.984100,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2039,0.000000,36.245770,36.245770,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2039,82.000000,82.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2039,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2039,2255.058600,3192.100320,937.041720,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2039,1657.535391,2346.289028,688.753637,без изменений/STRESS,реактивный/STRESS
finance,"Закупка, млн",2040,2292.158410,2985.458720,693.300310,без изменений/STRESS,реактивный/STRESS
finance,"Резервирование, млн",2040,98.210550,113.881800,15.671250,без изменений/STRESS,реактивный/STRESS
finance,"Хранение, млн",2040,0.000000,39.818147,39.818147,без изменений/STRESS,реактивный/STRESS
finance,"Постоянный OPEX, млн",2040,82.000000,82.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"CAPEX, млн",2040,0.000000,0.000000,0.000000,без изменений/STRESS,реактивный/STRESS
finance,"Итого, млн",2040,2472.368960,3221.158667,748.789707,без изменений/STRESS,реактивный/STRESS
finance,"PV итого, млн",2040,1682.652771,2192.266464,509.613693,без изменений/STRESS,реактивный/STRESS
decision:order,ordered_t B,2038,0,48.877200,48.877200,без изменений/STRESS,реактивный/STRESS
decision:order,ordered_t B,2039,22.621600,102.514800,79.893200,без изменений/STRESS,реактивный/STRESS
decision:order,ordered_t B,2040,84.736900,109.999200,25.262300,без изменений/STRESS,реактивный/STRESS
decision:order,ordered_t E,2038,0,39.200000,39.200000,без изменений/STRESS,реактивный/STRESS
decision:order,ordered_t E,2040,0,33.946800,33.946800,без изменений/STRESS,реактивный/STRESS
decision:reservation,reserved_t B,2038,0,110.000000,110.000000,без изменений/STRESS,реактивный/STRESS
